	entrezgene	ensembl_gene_id	gene_name	filter	baseMean	log2FoldChange_condition_treat_day6_on_vs_day6_off	lfcSE_condition_treat_day6_on_vs_day6_off	stat_condition_treat_day6_on_vs_day6_off	pvalue_condition_treat_day6_on_vs_day6_off	padj_condition_treat_day6_on_vs_day6_off	filter1	external_gene_name	pathway_id
5607	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04658
5608	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu05014
5609	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu05235
5610	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04625
5611	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu05167
5612	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04658
5613	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04921
5614	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu05152
5615	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04010
5616	19057	ENSMUSG00000022092	Ppp3cc	1	211.916720060235	0.612244562678581	0.149846777250616	4.08580400534482	4.3924446012959e-05	0.000219622230064795	DE	Ppp3cc	mmu04218
